City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port lincoln,-34.7333,135.8667,15.37,67,100,3.67,AU,1698416478
1,wailua homesteads,22.0669,-159.378,21.24,78,0,3.09,US,1698416478
2,dudinka,69.4058,86.1778,-12.96,99,69,1.34,RU,1698416478
3,adamstown,-25.066,-130.1015,22.16,81,100,2.4,PN,1698416479
4,utrik,11.2278,169.8474,27.89,78,64,3.86,MH,1698416479
5,vilyuysk,63.7553,121.6247,-5.0,90,100,1.79,RU,1698416479
6,allen,41.0706,-85.0144,21.21,82,20,5.14,US,1698416479
7,undurkhaan,47.3194,110.6556,6.57,34,25,2.56,MN,1698416479
8,port alfred,-33.5906,26.891,19.54,80,100,3.13,ZA,1698416479
9,bilibino,68.0546,166.4372,-21.24,98,8,1.67,RU,1698416480
10,blackmans bay,-43.0167,147.3167,6.96,91,94,3.35,AU,1698416480
11,grytviken,-54.2811,-36.5092,2.25,88,100,3.83,GS,1698416480
12,thompson,55.7435,-97.8558,-3.91,80,75,1.54,CA,1698416480
13,geraldton,-28.7667,114.6,17.34,64,0,10.89,AU,1698416480
14,jinka,5.65,36.65,23.13,65,100,0.91,ET,1698416480
15,orchard homes,46.8633,-114.0484,-3.92,87,100,3.6,US,1698416180
16,isafjordur,66.0755,-23.124,4.02,87,0,0.0,IS,1698416309
17,puerto natales,-51.7236,-72.4875,7.25,76,100,1.54,CL,1698416481
18,at-bashi,41.1702,75.8106,6.61,68,79,0.09,KG,1698416481
19,port-aux-francais,-49.35,70.2167,3.54,76,49,4.65,TF,1698416481
20,st. john's,47.5649,-52.7093,9.53,79,75,4.63,CA,1698416481
21,waitangi,-43.9535,-176.5597,7.68,72,100,6.26,NZ,1698416481
22,bubaque,11.2833,-15.8333,27.67,76,93,2.13,GW,1698416481
23,zvishavane,-20.3267,30.0665,34.0,16,0,3.33,ZW,1698416482
24,nuuk,64.1835,-51.7216,-1.66,80,75,1.03,GL,1698416482
25,kingaroy,-26.5333,151.8333,11.9,82,1,6.01,AU,1698416482
26,ilulissat,69.2167,-51.1,-5.99,68,75,2.57,GL,1698416482
27,invercargill,-46.4,168.35,7.79,77,99,6.26,NZ,1698416482
28,iskateley,67.6803,53.1512,-11.66,100,36,1.79,RU,1698416482
29,badger,64.8,-147.5333,-9.8,86,0,2.06,US,1698416483
30,kirakira,-10.4544,161.9205,26.01,87,100,1.81,SB,1698416483
31,portland,45.5234,-122.6762,5.82,95,100,2.06,US,1698416299
